,shopName,shopCode,budget,category,pandaOnly,minFee,minOrder,minDelTime,minPickTime,distance,rateNum,updateDate
2513,麻古茶坊 (大葉高島屋百貨店),i1et,1,['飲料'],False,29.0,99.0,25.0,10.0,0.9473543112621756,68,2023-05-23 11:48:33.979633
2514,九湯屋日式拉麵 (北投石牌店),lt0h,0,"['麵食', '日式']",False,29.0,99.0,25.0,15.0,1.0536962461514614,0,2023-05-23 11:48:33.979633
2515,七盞茶 (北投石牌店),meno,2,['飲料'],False,29.0,99.0,25.0,10.0,1.3013930221430259,2,2023-05-23 11:48:33.979633
2516,ㄚ寶檸檬 (SOGO百貨天母���),aerv,2,['飲料'],False,29.0,99.0,25.0,10.0,1.7122916164090842,4,2023-05-23 11:48:33.979633
2517,茶聚 (士林福華店),is4z,1,['飲料'],False,29.0,99.0,25.0,5.0,1.7700922737600484,944,2023-05-23 11:48:33.979633
2518,祥記X梅這回事,y7ue,1,['甜點'],False,29.0,99.0,25.0,10.0,2.0291394372007727,6,2023-05-23 11:48:33.979633
2519,紅茶洋行 (北投吉利店),bev6,1,['飲料'],False,29.0,99.0,25.0,5.0,2.1159013133531017,878,2023-05-23 11:48:33.979633
2520,滿月飲品專門店,rtgl,2,['飲料'],False,29.0,99.0,30.0,10.0,3.3893455715064547,0,2023-05-23 11:48:33.979633
2521,肖年董小火鍋,zc3l,1,"['火鍋', '台式']",False,29.0,99.0,35.0,15.0,3.3893455715064547,0,2023-05-23 11:48:33.979633
2522,魚池貳壹 (台北士林店),z7oe,1,['飲料'],False,29.0,99.0,30.0,5.0,3.6879118945865,2123,2023-05-23 11:48:33.979633
2523,珍茶道,c4dh,1,['飲料'],False,29.0,99.0,30.0,10.0,3.6910055714448813,874,2023-05-23 11:48:33.979633
2524,好奇營養豆花 (台北天母店),h3iv,1,['甜點'],False,29.0,99.0,40.0,15.0,1.3183564720515697,786,2023-05-23 11:48:33.979633
2525,石牌夜市 豆花林,mcuq,1,['甜點'],False,29.0,99.0,40.0,15.0,1.0240023429596998,30,2023-05-23 11:48:33.979633
2526,春水堂 (新光三越天母店),f9zw,3,"['麵食', '台式']",False,29.0,99.0,40.0,10.0,0.6960204881947677,3255,2023-05-23 11:48:33.979633
2527,米津號冰菓室,j0bw,1,['甜點'],False,29.0,99.0,40.0,15.0,0.48109981678545866,113,2023-05-23 11:48:33.979633
2528,八藤家,alt2,3,"['麵食', '火鍋', '日式']",False,29.0,99.0,40.0,15.0,0.08420442972490572,208,2023-05-23 11:48:33.979633
2529,潮汕傳統豆花,j1hu,1,['甜點'],False,29.0,99.0,40.0,15.0,1.5074487694796843,848,2023-05-23 11:48:33.979633
2530,士東甜不辣肉圓,f1vs,1,['小吃'],False,29.0,99.0,40.0,15.0,0.8647024175158664,354,2023-05-23 11:48:33.979633
2531,Wendel's German Bakery & Bistro 溫德德式烘焙餐館 (台北天母店),w3uk,3,['歐美'],False,29.0,99.0,40.0,15.0,1.5186568896818604,517,2023-05-23 11:48:33.979633
2532,GALAXY CAF’E,fuz8,2,['歐美'],False,29.0,99.0,40.0,15.0,1.0134415835151291,12,2023-05-23 11:48:33.979633
2533,楓格蛋糕 (台北天母店),wdvz,2,"['甜點', '蛋糕']",False,29.0,99.0,40.0,15.0,1.3893278871154255,39,2023-05-23 11:48:33.979633
